--- Page 1 ---
Field: f2_13[0] | Y=564 | X=504
Field: f2_14[0] | Y=552 | X=504
Field: f2_15[0] | Y=540 | X=504
Field: f2_16[0] | Y=528 | X=504
Field: f2_17[0] | Y=504 | X=410
Field: f2_18[0] | Y=492 | X=410
Field: f2_19[0] | Y=480 | X=410
Field: f2_20[0] | Y=468 | X=504
Field: f2_21[0] | Y=456 | X=504
Field: f2_22[0] | Y=432 | X=237
Field: f2_23[0] | Y=420 | X=410
Field: c2_12[0] | Y=410 | X=467
Field: c2_13[0] | Y=398 | X=467
Field: c2_14[0] | Y=374 | X=373
Field: f2_24[0] | Y=372 | X=410
Field: f2_25[0] | Y=360 | X=410
Field: f2_26[0] | Y=348 | X=410
Field: f2_27[0] | Y=336 | X=410
Field: f2_28[0] | Y=324 | X=504
Field: f2_29[0] | Y=312 | X=504
Field: f2_30[0] | Y=300 | X=504
Field: c2_15[0] | Y=290 | X=467
Field: f2_31[0] | Y=288 | X=504
Field: c2_16[0] | Y=278 | X=377
Field: c2_16[1] | Y=278 | X=435
Field: f2_32[0] | Y=276 | X=180
Field: f2_33[0] | Y=265 | X=180
Field: f2_34[0] | Y=252 | X=410
Field: f2_35[0] | Y=227 | X=504
Field: f2_36[0] | Y=216 | X=410
Field: c2_17[0] | Y=206 | X=432
Field: c2_17[1] | Y=206 | X=540
Field: f2_39[0] | Y=180 | X=504
Field: f2_37[0] | Y=180 | X=129
Field: f2_38[0] | Y=180 | X=324
Field: f2_40[0] | Y=126 | X=325
Field: f2_41[0] | Y=126 | X=504
Field: f2_42[0] | Y=96 | X=325
Field: f2_43[0] | Y=96 | X=504
Field: f2_44[0] | Y=84 | X=127
Field: f2_45[0] | Y=84 | X=324
Field: c2_18[0] | Y=63 | X=518
Field: f2_46[0] | Y=59 | X=91
Field: f2_47[0] | Y=59 | X=454
Field: f2_48[0] | Y=48 | X=134
Field: f2_49[0] | Y=48 | X=494
Field: f2_50[0] | Y=36 | X=142
Field: f2_51[0] | Y=36 | X=494
